System Of Mapping,Source System Code,Source Table,Source Column,Transformation/Business Rules,Target Table Name,Target Column Name,Map Change Date
JDA Demand Planning,JDAPlanning,"DFU,DFUVIEW,MODEL","DFU : -DMDUNIT,DMDGROUP,LOC and MODEL

DFUVIEW :- DMDUNIT,DMDGROUP,LOC

MODEL : -MODEL","DFU : -DMDUNIT,DMDGROUP,LOC and MODEL

DFUVIEW :- DMDUNIT,DMDGROUP,LOC

MODEL : -MODEL",EDW_DEMAND_FORECASTING_UNIT,DMD_FORCAST_UNIT_KEY,2022-04-07
Audit_Field,JDAPlanning,,,DFUVIEW  is primary table and join to DFU,EDW_DEMAND_FORECASTING_UNIT,SRC_SYS_KEY,2022-04-07
Audit_Field,JDAPlanning,,,Inner Join DFUVIEW .DMDUNIT = DFU.DMDUNIT and  DFUVIEW .DMDGROUP = DFU.DMDGROUP and DFUVIEW .LOC = DFU.LOC and DFU.MODEL = MODEL.MODEL,EDW_DEMAND_FORECASTING_UNIT,SRC_RCRD_CREATE_DTE,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,SRC_RCRD_CREATE_USERID,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,SRC_RCRD_UPD_DTE,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,SRC_RCRD_UPD_USERID,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,RCRD_HASH_KEY,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,DEL_FROM_SRC_FLAG,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,ETL_INS_PID,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,ETL_INS_DTE,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,ETL_UPD_PID,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,ETL_UPD_DTE,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,ZONE3_LOD_DTE,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,VER_EFF_DTE,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,VER_EXPR_DTE,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,CURR_RCRD_FLAG,2022-04-07
Audit_Field,JDAPlanning,,,,EDW_DEMAND_FORECASTING_UNIT,ORP_RCRD_FLAG,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,LOC,,EDW_DEMAND_FORECASTING_UNIT,LOC_KEY,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,HISTSTART,,EDW_DEMAND_FORECASTING_UNIT,HIST_START_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,EFF,,EDW_DEMAND_FORECASTING_UNIT,DFU_EFF_START_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,DISC,,EDW_DEMAND_FORECASTING_UNIT,DFU_DSCTU_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,DMDPOSTDATE,,EDW_DEMAND_FORECASTING_UNIT,DMD_POST_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,MODELDATE,,EDW_DEMAND_FORECASTING_UNIT,MODEL_RUN_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,PUBLISHDATE,,EDW_DEMAND_FORECASTING_UNIT,FCST_PUBLISHED_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,ADJDMDPOSTDATE,,EDW_DEMAND_FORECASTING_UNIT,ADJ_DMD_POST_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,DMDGROUP,,EDW_DEMAND_FORECASTING_UNIT,DMD_GRP,2022-04-07
JDA Demand Planning,JDAPlanning,DFUVIEW,U_SKUABC,,EDW_DEMAND_FORECASTING_UNIT,ABC_CLS_CD,2022-04-07
JDA Demand Planning,JDAPlanning,DFUVIEW,U_DV_STDCOST,,EDW_DEMAND_FORECASTING_UNIT,SKU_STD_COST,2022-04-07
JDA Demand Planning,JDAPlanning,DFUVIEW,U_AVGBW,,EDW_DEMAND_FORECASTING_UNIT,AVG_SHIP_COST,2022-04-07
JDA Demand Planning,JDAPlanning,DFUVIEW,U_MINPRICE,,EDW_DEMAND_FORECASTING_UNIT,MIN_PRC,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,REFITDATE,,EDW_DEMAND_FORECASTING_UNIT,MODEL_REFIT_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFU,U_DFU_BORN,,EDW_DEMAND_FORECASTING_UNIT,DFU_FIRST_CREATE_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFUVIEW,U_DV_BORN,,EDW_DEMAND_FORECASTING_UNIT,DFU_CREATE_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFUVIEW,U_LAUNCH,,EDW_DEMAND_FORECASTING_UNIT,DFU_LAUNCH_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFUVIEW,U_LOST_DATE,,EDW_DEMAND_FORECASTING_UNIT,PROD_LAST_SELL_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFUVIEW,U_DFUCREATION,,EDW_DEMAND_FORECASTING_UNIT,FIRST_ENTR_PRC,2022-04-07
JDA Demand Planning,JDAPlanning,DFUVIEW,U_DMDTODATE,,EDW_DEMAND_FORECASTING_UNIT,DMD_TO_DTE,2022-04-07
JDA Demand Planning,JDAPlanning,DFUVIEW,U_EFFOUTDATE,,EDW_DEMAND_FORECASTING_UNIT,RELS_EFF_DTE,2022-04-07
