System Of Mapping,Source System Code,Source Table,Source Column,Transformation Rules,Target Table Name,Target Column Name,Map Change Date
SAP,SAPC11,"IKPF,ISEG","IBLNR,GJAHR,ZEILI",,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_KEY,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,SRC_SYS_KEY,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,SRC_RCRD_CREATE_DTE,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,SRC_RCRD_CREATE_USERID,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,SRC_RCRD_UPD_DTE,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,SRC_RCRD_UPD_USERID,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,RCRD_HASH_KEY,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,DEL_FROM_SRC_FLAG,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,ETL_INS_PID,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,ETL_INS_DTE,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,ETL_UPD_PID,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,ETL_UPD_DTE,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,ZONE3_LOD_DTE,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,VER_EFF_DTE,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,VER_EXPR_DTE,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,CURR_RCRD_FLAG,2022-04-08
Audit_Field,SAP,,,,EDW_INVENTORY_PHYSICAL_COUNT,ORP_RCRD_FLAG,2022-04-08
SAP,SAPC11,IKPF,BLDAT,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_ISS_DTE,2022-04-08
SAP,SAPC11,IKPF,DSTAT,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_ADJ_POST_STAT_FLAG,2022-04-08
SAP,SAPC11,IKPF,GIDAT,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_CNT_PLND_DTE,2022-04-08
SAP,SAPC11,IKPF,IBLTXT,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_DOC_DESC,2022-04-08
SAP,SAPC11,IKPF,INVART,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_CNT_TYP_LKEY,2022-04-08
SAP,SAPC11,IKPF,INVNU,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_NBR,2022-04-08
SAP,SAPC11,IKPF,LGORT,,EDW_INVENTORY_PHYSICAL_COUNT,SUB_SLOC_ID,2022-04-08
SAP,SAPC11,IKPF,SOBKZ,,EDW_INVENTORY_PHYSICAL_COUNT,SPCL_STK_TYP,2022-04-08
SAP,SAPC11,IKPF,WERKS,,EDW_INVENTORY_PHYSICAL_COUNT,LOC_KEY,2022-04-08
SAP,SAPC11,IKPF,XBLNI,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_REF_NBR,2022-04-08
SAP,SAPC11,IKPF,ZSTAT,,EDW_INVENTORY_PHYSICAL_COUNT,CNT_STAT_FLAG,2022-04-08
SAP,SAPC11,IKPF,IBLNR,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_DOC_NBR,2022-04-08
SAP,SAPC11,ISEG,AEDAT,,EDW_INVENTORY_PHYSICAL_COUNT,LN_ITEM_MOD_DTE,2022-04-08
SAP,SAPC11,ISEG,ATTYP,,EDW_INVENTORY_PHYSICAL_COUNT,MATL_CTGY_TYP_LKEY,2022-04-08
SAP,SAPC11,ISEG,BSTAR,,EDW_INVENTORY_PHYSICAL_COUNT,STK_TYP_LKEY,2022-04-08
SAP,SAPC11,ISEG,BUCHM,,EDW_INVENTORY_PHYSICAL_COUNT,BOOK_INVTY_QTY,2022-04-08
SAP,SAPC11,ISEG,CHARG,,EDW_INVENTORY_PHYSICAL_COUNT,PROD_BATCH_NBR,2022-04-08
SAP,SAPC11,ISEG,DIWZL,,EDW_INVENTORY_PHYSICAL_COUNT,INVTY_DIFF_CNT,2022-04-08
SAP,SAPC11,ISEG,DMBTR,,EDW_INVENTORY_PHYSICAL_COUNT,LCRNCY_DIFF_AMT,2022-04-08
SAP,SAPC11,ISEG,ERFME,,EDW_INVENTORY_PHYSICAL_COUNT,CNT_ENTR_UOM_KEY,2022-04-08
SAP,SAPC11,ISEG,ERFMG,,EDW_INVENTORY_PHYSICAL_COUNT,CNT_ENTR_UOM_QTY,2022-04-08
SAP,SAPC11,ISEG,EXVKW,,EDW_INVENTORY_PHYSICAL_COUNT,LCRNCY_EXTNL_SLS_AMT,2022-04-08
SAP,SAPC11,ISEG,GRUND,,EDW_INVENTORY_PHYSICAL_COUNT,INVTY_DIFF_RESN_LKEY,2022-04-08
SAP,SAPC11,ISEG,KDAUF,,EDW_INVENTORY_PHYSICAL_COUNT,SLS_ORD_NBR,2022-04-08
SAP,SAPC11,ISEG,KDEIN,,EDW_INVENTORY_PHYSICAL_COUNT,SLS_ORD_DLV_SCHED_NBR,2022-04-08
SAP,SAPC11,ISEG,KDPOS,,EDW_INVENTORY_PHYSICAL_COUNT,SLS_ORD_ITEM_NBR,2022-04-08
SAP,SAPC11,ISEG,KUNNR,,EDW_INVENTORY_PHYSICAL_COUNT,CUST_ACCT_NBR,2022-04-08
SAP,SAPC11,ISEG,KWART,,EDW_INVENTORY_PHYSICAL_COUNT,VAL_ONLY_PROD_LKEY,2022-04-08
SAP,SAPC11,ISEG,LIFNR,,EDW_INVENTORY_PHYSICAL_COUNT,VEND_ID,2022-04-08
SAP,SAPC11,ISEG,MATNR,,EDW_INVENTORY_PHYSICAL_COUNT,PROD_KEY,2022-04-08
SAP,SAPC11,ISEG,MBLNR,,EDW_INVENTORY_PHYSICAL_COUNT,PROD_DOC_NBR,2022-04-08
SAP,SAPC11,ISEG,MEINS,,EDW_INVENTORY_PHYSICAL_COUNT,BASE_UOM_KEY,2022-04-08
SAP,SAPC11,ISEG,MENGE,,EDW_INVENTORY_PHYSICAL_COUNT,PROD_PHY_INVTY_QTY,2022-04-08
SAP,SAPC11,ISEG,MJAHR,,EDW_INVENTORY_PHYSICAL_COUNT,PROD_DOC_YR,2022-04-08
SAP,SAPC11,ISEG,NBLNR,,EDW_INVENTORY_PHYSICAL_COUNT,RECOUNT_DOC_NBR,2022-04-08
SAP,SAPC11,ISEG,PLPLA,,EDW_INVENTORY_PHYSICAL_COUNT,STORG_BIN_NBR,2022-04-08
SAP,SAPC11,ISEG,PS_PSP_PNR,,EDW_INVENTORY_PHYSICAL_COUNT,WORK_BRKDN_STRC_NBR,2022-04-08
SAP,SAPC11,ISEG,SAMAT,,EDW_INVENTORY_PHYSICAL_COUNT,CROSS_PLANT_CONFIGURABLE_PROD_KEY,2022-04-08
SAP,SAPC11,ISEG,USNAD,,EDW_INVENTORY_PHYSICAL_COUNT,ADJ_POST_BY_USERID,2022-04-08
SAP,SAPC11,ISEG,USNAZ,,EDW_INVENTORY_PHYSICAL_COUNT,COUNTED_BY_USERID,2022-04-08
SAP,SAPC11,ISEG,VKMZL,,EDW_INVENTORY_PHYSICAL_COUNT,INVTY_DIFF_WITH_VAT_SLS_AMT,2022-04-08
SAP,SAPC11,ISEG,VKNZL,,EDW_INVENTORY_PHYSICAL_COUNT,INVTY_DIFF_SLS_AMT,2022-04-08
SAP,SAPC11,ISEG,VKWRA,,EDW_INVENTORY_PHYSICAL_COUNT,SLS_PRC,2022-04-08
SAP,SAPC11,ISEG,VKWRT,,EDW_INVENTORY_PHYSICAL_COUNT,SLS_PRC_WITH_VAT_AMT,2022-04-08
SAP,SAPC11,ISEG,WAERS,,EDW_INVENTORY_PHYSICAL_COUNT,CRNCY_KEY,2022-04-08
SAP,SAPC11,ISEG,WRTBM,,EDW_INVENTORY_PHYSICAL_COUNT,BOOK_QTY_VAL_AMT,2022-04-08
SAP,SAPC11,ISEG,WRTZL,,EDW_INVENTORY_PHYSICAL_COUNT,CNT_VAL_AMT,2022-04-08
SAP,SAPC11,ISEG,WSTI_COUNTTIME,,EDW_INVENTORY_PHYSICAL_COUNT,CNT_OPN_TM,2022-04-08
SAP,SAPC11,ISEG,WSTI_FREEZEDATE,,EDW_INVENTORY_PHYSICAL_COUNT,INVTY_BAL_FREEZE_DTE,2022-04-08
SAP,SAPC11,ISEG,WSTI_FREEZETIME,,EDW_INVENTORY_PHYSICAL_COUNT,INVTY_BAL_FREEZE_TM,2022-04-08
SAP,SAPC11,ISEG,WSTI_POSM,,EDW_INVENTORY_PHYSICAL_COUNT,BASE_UOM_BOOK_CHG_QTY,2022-04-08
SAP,SAPC11,ISEG,WSTI_POSW,,EDW_INVENTORY_PHYSICAL_COUNT,RETL_BOOK_CHG_VAL_AMT,2022-04-08
SAP,SAPC11,ISEG,WSTI_XCALC,,EDW_INVENTORY_PHYSICAL_COUNT,BOOK_INVTY_CALC_TM,2022-04-08
SAP,SAPC11,ISEG,XAMEI,,EDW_INVENTORY_PHYSICAL_COUNT,IS_BASE_UOM_FLAG,2022-04-08
SAP,SAPC11,ISEG,XDIFF,,EDW_INVENTORY_PHYSICAL_COUNT,DIFF_POST_FLAG,2022-04-08
SAP,SAPC11,ISEG,XDISPATCH,,EDW_INVENTORY_PHYSICAL_COUNT,CNSMPTN_DIST_FLAG,2022-04-08
SAP,SAPC11,ISEG,XLOEK,,EDW_INVENTORY_PHYSICAL_COUNT,ITEM_DEL_FLAG,2022-04-08
SAP,SAPC11,ISEG,XNULL,,EDW_INVENTORY_PHYSICAL_COUNT,ZERO_CNT_FLAG,2022-04-08
SAP,SAPC11,ISEG,XNZAE,,EDW_INVENTORY_PHYSICAL_COUNT,ITEM_RECOUNT_FLAG,2022-04-08
SAP,SAPC11,ISEG,XZAEL,,EDW_INVENTORY_PHYSICAL_COUNT,ITEM_COUNTED_FLAG,2022-04-08
SAP,SAPC11,ISEG,ZEILE,,EDW_INVENTORY_PHYSICAL_COUNT,LN_ITEM_PROD_NBR,2022-04-08
SAP,SAPC11,ISEG,ZEILI,,EDW_INVENTORY_PHYSICAL_COUNT,LN_ITEM_NBR,2022-04-08
SAP,SAPC11,ISEG,WSTI_COUNTDATE,,EDW_INVENTORY_PHYSICAL_COUNT,CNT_OPN_DTE,2022-04-08
SAP,SAPC11,IKPF,KEORD,,EDW_INVENTORY_PHYSICAL_COUNT,GRP_CRITERION_TYP,2022-04-08
SAP,SAPC11,IKPF,LSTAT,,EDW_INVENTORY_PHYSICAL_COUNT,DOC_ITEM_DEL_FLAG,2022-04-08
SAP,SAPC11,IKPF,MONAT,,EDW_INVENTORY_PHYSICAL_COUNT,DOC_CREATE_NBR,2022-04-08
SAP,SAPC11,IKPF,ORDNG,,EDW_INVENTORY_PHYSICAL_COUNT,GRP_CRITERION_NBR,2022-04-08
SAP,SAPC11,IKPF,SPERR,,EDW_INVENTORY_PHYSICAL_COUNT,POST_BLOCK_DUE_INDCTR,2022-04-08
SAP,SAPC11,IKPF,XBUFI,,EDW_INVENTORY_PHYSICAL_COUNT,FREEZE_BOOK_INVTY_FLAG,2022-04-08
SAP,SAPC11,IKPF,BUDAT,,EDW_INVENTORY_PHYSICAL_COUNT,DOC_POST_DTE,2022-04-08
SAP,SAPC11,ISEG,ABCIN,,EDW_INVENTORY_PHYSICAL_COUNT,CYCLE_CNT_INDCTR,2022-04-08
SAP,SAPC11,IKPF,GJAHR,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_DOC_FYR,2022-04-08
SAP,SAPC11,IKPF,ZLDAT, ,EDW_INVENTORY_PHYSICAL_COUNT,LAST_INVTY_DTE,2022-04-08
SAP,SAPC11,IKPF,VGART,,EDW_INVENTORY_PHYSICAL_COUNT,TXN_TYP,2022-06-07
SAP,SAPC11,IKPF,WSTI_BSTAT,,EDW_INVENTORY_PHYSICAL_COUNT,INVTY_BAL_CALC_STAT,2022-06-07
SAP,SAPC11,ISEG,BUCHW,,EDW_INVENTORY_PHYSICAL_COUNT,SLS_PRC_BOOK_VAL_AMT,2022-06-07
SAP,SAPP10,"IKPF,ISEG","IBLNR,GJAHR,ZEILI",,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_KEY,2022-04-08
SAP,SAPP10,IKPF,BLDAT,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_ISS_DTE,2022-04-08
SAP,SAPP10,IKPF,DSTAT,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_ADJ_POST_STAT_FLAG,2022-04-08
SAP,SAPP10,IKPF,GIDAT,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_CNT_PLND_DTE,2022-04-08
SAP,SAPP10,IKPF,IBLTXT,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_DOC_DESC,2022-04-08
SAP,SAPP10,IKPF,INVART,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_CNT_TYP_LKEY,2022-04-08
SAP,SAPP10,IKPF,INVNU,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_NBR,2022-04-08
SAP,SAPP10,IKPF,LGORT,,EDW_INVENTORY_PHYSICAL_COUNT,SUB_SLOC_ID,2022-04-08
SAP,SAPP10,IKPF,SOBKZ,,EDW_INVENTORY_PHYSICAL_COUNT,SPCL_STK_TYP,2022-04-08
SAP,SAPP10,IKPF,WERKS,,EDW_INVENTORY_PHYSICAL_COUNT,LOC_KEY,2022-04-08
SAP,SAPP10,IKPF,XBLNI,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_REF_NBR,2022-04-08
SAP,SAPP10,IKPF,ZSTAT,,EDW_INVENTORY_PHYSICAL_COUNT,CNT_STAT_FLAG,2022-04-08
SAP,SAPP10,IKPF,IBLNR,,EDW_INVENTORY_PHYSICAL_COUNT,PHY_INVTY_DOC_NBR,2022-04-08
SAP,SAPP10,ISEG,AEDAT,,EDW_INVENTORY_PHYSICAL_COUNT,LN_ITEM_MOD_DTE,2022-04-08
SAP,SAPP10,ISEG,ATTYP,,EDW_INVENTORY_PHYSICAL_COUNT,MATL_CTGY_TYP_LKEY,2022-04-08
SAP,SAPP10,ISEG,BSTAR,,EDW_INVENTORY_PHYSICAL_COUNT,STK_TYP_LKEY,2022-04-08
SAP,SAPP10,ISEG,BUCHM,,EDW_INVENTORY_PHYSICAL_COUNT,BOOK_INVTY_QTY,2022-04-08
SAP,SAPP10,ISEG,CHARG,,EDW_INVENTORY_PHYSICAL_COUNT,PROD_BATCH_NBR,2022-04-08
SAP,SAPP10,ISEG,DIWZL,,EDW_INVENTORY_PHYSICAL_COUNT,INVTY_DIFF_CNT,2022-04-08
SAP,SAPP10,ISEG,DMBTR,,EDW_INVENTORY_PHYSICAL_COUNT,LCRNCY_DIFF_AMT,2022-04-08
SAP,SAPP10,ISEG,ERFME,,EDW_INVENTORY_PHYSICAL_COUNT,CNT_ENTR_UOM_KEY,2022-04-08
SAP,SAPP10,ISEG,ERFMG,,EDW_INVENTORY_PHYSICAL_COUNT,CNT_ENTR_UOM_QTY,2022-04-08
SAP,SAPP10,ISEG,EXVKW,,EDW_INVENTORY_PHYSICAL_COUNT,LCRNCY_EXTNL_SLS_AMT,2022-04-08
SAP,SAPP10,ISEG,GRUND,,EDW_INVENTORY_PHYSICAL_COUNT,INVTY_DIFF_RESN_LKEY,2022-04-08
SAP,SAPP10,ISEG,KDAUF,,EDW_INVENTORY_PHYSICAL_COUNT,SLS_ORD_NBR,2022-04-08
SAP,SAPP10,ISEG,KDEIN,,EDW_INVENTORY_PHYSICAL_COUNT,SLS_ORD_DLV_SCHED_NBR,2022-04-08
SAP,SAPP10,ISEG,KDPOS,,EDW_INVENTORY_PHYSICAL_COUNT,SLS_ORD_ITEM_NBR,2022-04-08
